rating;title;text;location;num_contributions;date
5;Final de semana em Penha;Praia exelente para banho, apenas com muitos entulhos na areia consequência das marés altas. Pouca faixa de areia em alguns pontos.;Caxias Do Sul, RS;5;26/11/2023
4;Praia pra banho e relaxamento;Eu amei, perfeita para nadar e relaxar. Três estrelas por três motivos: 1. sem infraestrutura (banheiros e restaurantes ou quiosques) 2. Muita vegetação na água (natural, mas incomodou alguns), 3. Um pouco de dificuldade de acesso.;São Paulo, SP;38;29/03/2022
5;adorei essa praia achei a mais bonita de Penha;Bem reservada, a sombra das árvores ajudam num dia de muito sol, tem uma passagem pelo meio da mata que  acessa o outro canto e um piscina natural no fim da praia.;;19;19/01/2022
5;Paraíso na Penha;O refúgio do Poá, é um pedacinho da praia do Poá. É incrível para quem deseja uma praia para passear com a família, amigos ou casal. Praia com pouquíssimo movimento. Para aproveitar a sombra das árvores o ideal é ir cedo. Praia calma com poucas ondas.;Piçarras, SC;433;09/01/2022
4;Me surpreendeu positivamente;Eu e minha família fizemos uma viagem diferente esse ano. Resolvemos acampar. Não conhecíamos a cidade de Penha e ficamos no camping Refúgio do Poá para ir ao Beto Carreiro World. Quando vimos o lugar é a praia, ficamos encantados. Brincamos muito na água. A água estava bem limpinha, temperatura agradável e não tinha muita gente. A praia é bem preservada.;Cuiabá, MT;59;17/01/2020
5;Agradável;Visitamos a do Poá e arredores. A praia é muito linda, agradavel para ficar com os amigos e a familia.;;2;09/12/2019
5;Lugar de paz;Praia do Poá é maravilhosa para quem deseja um dia na praia com a família em tranquilidade. Praia com pouco movimento, não tem estacionamento, há apenas um quiosque na praia, contém aluguel de caiaque, boias, pranchas, cadeiras e guarda sol. Valor mediano. Para aproveitar a sombra das árvores o ideal é ir cedo. Praia calma com poucas ondas.;Joinville, SC;4;14/04/2019
5;Lugar paradisíaco! Paisagem espetacular! Água deliciosa!;"Praia linda! Para mim a melhor de Penha! Tenho passado em média 10 dias ali nos últimos 4 anos. Água limpa, transparente (uma das poucas praias com classificação da água como ""própria para banho"" em Penha). Temperatura da água sempre agradável. Há sombra produzida pelos sombreiros plantados à beira da areia. Na temporada há ambulantes que vendem picolés e sorvetes e lanches. Normalmente frequentada por famílias com crianças.Parte com rochedos...que deixam a paisagem mais linda ainda!";Curitiba, PR;113;13/02/2019
3;Bonita mas duvidosa;Passei uma tarde com minha família nessa praia. É uma praia urbana e tranquila, mas com qualidade de água duvidosa, pois havia um esgoto próximo. Certamente não voltaria. Além de não ter estacionamento fácil. Penha não tem praias muito propícias para banho.;Brasília, DF;60;07/02/2019
3;Urbana, mas sossegada;É uma continuação da Praia Grande, alterna trechos rochosos com extensões de areia, águas calmas e claras, natureza preservada e costões para pesca e mergulho. Aqui, a rua passa mais para dentro e há uma sequência de construções pé na areia. Conta com infraestrutura de hospedagem e alimentação nas redondezas.;Taubaté, SP;1;30/01/2019
